#Cfactor 0.00688797
Recipient	DC_A6_georgia_EvansCo_FtStewart_sorted	DC_AUHT-5492_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5495_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5505_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5511_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5514_florida_IndianRiverCo_Fellsmere_sorted	DC_AUHT-5517_florida_MartinCo_IndianTown_sorted	DC_AUHT-5520_florida_HighlandsCo_LakePlacid_sorted	DC_AUHT-5522_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT-5523_florida_HighlandsCo_LakeWalesRidge_sorted	DC_AUHT-5540_florida_HighlandsCo_LakeIstokpoga_sorted	DC_AUHT-5566_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5579_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT-5581_florida_HighlandsCo_LakeWalesRidgeOrangeBlossom_sorted	DC_AUHT-5585_florida_HighlandsCo_LakeWalesRidgeLPScrub_sorted	DC_AUHT-5588_florida_HighlandsCo_Venus_sorted	DC_AUHT-5593_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5598_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT-5601_florida_Archbold_sorted	DC_AUHT-5603_florida_HighlandsCo_SebringGrassyCreek_sorted	DC_AUHT-5606_florida_HighlandsCo_Venus_sorted	DC_AUHT-5613_florida_HighlandsCo_HighlandsHammock_sorted	DC_AUHT-5615_florida_Montura_OkaloacoocheeSlough_sorted	DC_AUHT-5617_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT-5626_florida_MiamiDadeCo_NearTurkeyPoint_sorted	DC_AUHT-5635_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5636_florida_HighlandsCo_Venus_sorted	DC_AUHT-5637_florida_HighlandsCo_Venus_sorted	DC_AUHT-5646_georgia_Hahira_sorted	DC_AUHT-5651_georgia_EvansCo_Daisy_sorted	DC_AUHT-5654_georgia_EvansCo_Daisy_sorted	DC_AUHT-5655_georgia_EvansCo_Daisy_sorted	DC_AUHT-5662_georgia_BryanCo_sorted	DC_AUHT-5665_georgia_EvansCo_Daisy_sorted	DC_AUHT-5666_georgia_BryanCo_sorted	DC_AUHT-5667_georgia_BryanCo_Southward_sorted	DC_AUHT-5668_georgia_EvansCo_Daisy_sorted	DC_AUHT-5670_georgia_WayneCo_Akin_sorted	DC_AUHT-5675_georgia_LongCo_Tibet_sorted	DC_AUHT-5681_georgia_WheelerCo_Scotland_sorted	DC_AUHT-5683_georgia_EvansCo_Daisy_sorted	DC_AUHT-5687_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT-5695_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT-5698_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT-5706_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5713_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5716_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5725_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5727_georgia_TelfairCo_McRaeHelena_sorted	DC_AUHT-5729_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5733_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5734_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5735_georgia_BryanCo_Southward_sorted	DC_AUHT-5744_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5765_georgia_BryanCo_Southward_sorted	DC_AUHT-5793_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5803_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT-5808_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5827_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5830_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5871_georgia_EvansCo_Daisy_sorted	DC_AUHT-5876_georgia_FortStewart_Willie_sorted	DC_B4_georgia_BryanCo_FtStewart_sorted	DC_B8_georgia_BryanCo_FtStewart_sorted	DC_C2_georgia_TelfairCo_sorted	DC_D2_georgia_Conecuh_sorted	DC_D9_georgia_Conecuh_sorted	DC_E2_georgia_GenCoffeeStatePark_sorted	DC_F6_georgia_BryanCo_FtStewart_sorted	DC_F9_georgia_BryanCo_FtStewart_sorted	DC_FEMALET_unknown_unknown_sorted	DC_FEMALEV_unknown_unknown_sorted	DC_G4_georgia_EvansCo_Canoochee_sorted	DC_G9_georgia_EvansCo_SandsSiteCanoochee_sorted	DC_H4_georgia_EvansCo_WarnellCanoochee_sorted	DC_H5_georgia_EvansCo_WarnellCanoochee_sorted	DC_I2_georgia_BroxtonRocksTNC_sorted	DC_K3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_K5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_L2_georgia_AlapahaRiverRanch_sorted	DC_MB2702_UF123385_Florida_Alachua_sorted	DC_MB2705_UF150061_Florida_Citrus_sorted	DC_MB2706_UF150062_Florida_Marion_sorted	DC_MB2709_UF152860_Florida_Citrus_sorted	DC_MB2710_UF153475_Florida_Putnam_sorted	DC_MB2717_UF157531_Florida_Gilchrist_sorted	DC_MB2719_UF165218_Florida_Citrus_sorted	DC_MB2723_076321591_Gerogia_OISPNorth_sorted	DC_MB2724_605806003_Georgia_GaskinsProperty_sorted	DC_MB2803_605804613_MoodyForest_sorted	DC_MB2805_604806826_FortStewart_sorted	DC_MB2810_605359320_CanoocheeSandhillsWMA_sorted	DC_MB2813_605056639_OISPNorth_sorted	DC_MB2815_603639016_GaskinsProperty_sorted	DC_MB2818_066265616_OISPNorth_sorted	DC_MB2819_606112553_GaskinsProperty_sorted	DC_MB2828_605799017_GaskinsProperty_sorted	DC_MB2833_605066603_ReddingProperty_sorted	DC_MB2836_076308773_OISPNorth_sorted	DC_MB2838_605791060_BroxtonRocksEast_sorted	DC_MB2844_605803125_GaskinsProperty_sorted	DC_MB2846_603633631_Langdale_sorted	DC_MB2847_845338285_FortStewart_sorted	DC_MB2848_605790607_BroxtonRocksEast_sorted	DC_MB2852_603639823_Langdale_sorted	DC_MB2861_607338834_OISPNorth_sorted	DC_N4_georgia_WayneCo_LittleSatillaWMA_sorted	DC_O3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_O5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_OCIC.15_Fuller_PetTrade_sorted	DC_OCIC.246_X1_georgia_JeffDavisCo_FlatTubWMA_sorted	DC_OCIC.73_V4_georgia_AtkinsonCo_DeathAgeCem_sorted	DC_P5_georgia_TelfairCo_AlligoodTract_sorted	DC_Q4_georgia_BryanCo_FtStewart_sorted	DC_S1_georgia_LongCo_FIAFRC_sorted	DC_S4_georgia_LongCo_FIAFRC_sorted
DC_A6_georgia_EvansCo_FtStewart_sorted	0	12.373	12.2437	12.4988	12.2219	14.1678	13.6009	12.39	12.7154	12.3432	12.9183	12.6656	12.775	12.7887	12.4509	12.3082	12.7725	12.5923	12.7132	12.3411	12.0118	12.835	12.8117	12.4081	12.847	12.8074	11.8772	12.4403	20.1408	19.5901	19.3755	20.8686	19.3355	19.1729	19.5294	19.7076	19.7949	18.2613	18.1465	16.9819	19.1897	16.7753	16.1004	16.1901	16.847	16.7852	16.2185	16.5015	16.1632	16.5378	16.3802	16.1837	19.8866	17.1316	19.6169	16.1718	16.4595	15.9033	16.4164	16.2713	20.5852	18.9199	19.934	20.3327	16.8784	16.4845	16.5614	16.0677	20.5955	19.9121	19.5394	15.715	19.6662	19.489	20.1243	20.398	16.2792	16.9151	16.5895	15.6255	14.1673	13.4844	14.1651	14.0485	15.8415	13.3708	13.5041	16.5035	15.3184	17.3291	19.6107	20.0535	16.407	15.4277	16.343	15.5898	15.4064	18.2968	16.7504	16.6838	15.1633	13.9876	20.0127	16.5683	14.277	16.6472	18.3415	16.3447	16.571	13.329	16.7633	19.0343	16.0517	20.3978	18.6446	18.3977
DC_AUHT-5492_florida_HighlandsCo_Archbold_sorted	12.4731	0	22.9821	23.6815	23.8927	20.3885	21.7104	23.6199	22.3373	22.2857	22.9562	22.1011	23.0822	22.1681	22.5247	24.3853	24.2325	22.307	23.6123	22.945	23.6848	22.0763	22.8785	23.1133	21.6878	23.9991	23.6863	24.1813	12.3478	12.7838	12.2712	12.6243	12.2413	12.7627	12.8741	12.333	12.3986	13.1876	13.37	14.0546	12.7524	14.4903	14.5094	14.1795	13.9027	14.1219	14.1395	14.1084	14.6048	14.7395	14.1266	14.3134	12.6508	13.9349	12.4979	14.5337	13.9423	15.4207	14.538	14.5786	12.1461	12.7366	12.3045	12.0821	13.8716	13.7874	14.3321	14.7565	12.7944	12.7801	12.3549	16.0981	12.8385	12.5443	12.0435	11.9629	14.2478	14.1095	13.9395	15.7744	18.1544	19.8502	19.8392	19.6358	16.8216	19.7985	19.3614	14.6455	15.85	13.373	12.7627	13.0365	14.0876	15.7564	14.0404	15.1679	15.7473	13.4001	14.2223	14.2727	15.4727	17.3264	12.564	14.322	17.0337	14.1151	13.9539	13.7264	14.0186	21.0913	14.5497	12.1903	14.2136	12.474	13.1427	13.1496
DC_AUHT-5495_florida_HighlandsCo_Archbold_sorted	12.256	22.5986	0	23.7607	24.5357	20.455	21.6873	23.8214	23.312	22.7038	22.6779	23.0041	23.37	22.7077	23.9769	24.2571	24.7092	22.4695	24.2799	22.5006	23.8467	22.8409	23.4031	23.3037	21.8757	24.3082	24.6217	24.4982	12.099	12.5392	12.4775	12.4408	12.0659	12.5834	12.9572	12.1819	12.204	13.1386	13.5042	14.0338	12.2486	14.3885	14.989	14.2886	13.8972	14.3391	14.1269	14.1523	14.1267	14.1178	13.5914	14.4023	12.3677	14.4157	12.4686	14.4971	14.1562	14.4794	14.1542	14.1986	12.2843	12.5465	12.4951	12.3481	13.9061	13.9904	13.2008	14.7086	12.9385	12.382	12.3858	15.8577	12.3397	12.2088	12.4303	12.5883	14.405	14.4243	14.3587	15.4732	18.5458	19.3809	19.2024	19.9944	16.2347	19.232	19.6312	14.4138	15.539	13.3515	12.4532	11.8379	13.945	15.62	14.2423	15.11	15.6641	13.3533	14.1701	13.7578	15.0695	17.6652	12.4021	13.9037	17.5697	14.2185	13.583	13.6999	13.9887	21.8299	14.0108	12.193	13.9521	12.4144	13.1036	13.0308
DC_AUHT-5505_florida_HighlandsCo_Archbold_sorted	12.5218	23.3754	23.6506	0	24.1184	20.2767	21.3217	23.3178	23.1511	22.295	22.8176	23.4125	23.0636	22.541	22.6646	24.0132	24.1943	22.6537	24.2816	23.029	24.0118	22.6793	22.7021	22.6503	21.7495	24.0611	24.1122	24.1226	12.2536	12.8209	12.423	12.8114	12.1843	12.6612	12.7607	12.3531	12.5176	13.5798	13.8142	13.6405	13.1478	13.9758	14.7544	14.2259	14.2703	14.4157	13.9229	13.8647	14.6935	14.3721	13.6703	14.1848	12.5694	14.0362	12.6635	14.4088	14.181	14.8153	14.4217	14.1759	12.2792	12.765	12.4081	12.3237	14.0804	14.0571	13.7633	14.521	12.3265	12.3294	12.1112	16.2264	12.5848	12.3847	12.3712	12.2346	14.4536	14.1776	13.7588	15.5069	19.1198	19.453	19.6055	19.3637	17.2972	19.0774	19.496	14.1247	15.8271	13.8011	12.6388	12.7602	14.0237	15.7231	14.0176	15.1697	15.9566	12.9789	14.0982	13.6603	15.4553	17.0231	12.5186	14.2615	16.8027	14.2619	13.7588	13.7844	13.965	21.4164	14.4273	12.1568	14.4067	12.4432	13.0081	13.0759
DC_AUHT-5511_florida_HighlandsCo_PlacidLakes_sorted	12.1366	23.464	24.3801	23.9052	0	20.3594	21.6346	24.132	23.4094	23.2616	23.1744	23.1646	24.0785	23.2985	23.1516	24.9499	24.4057	22.9713	23.7543	23.5066	24.3969	23.2935	23.1848	24.065	22.5325	23.5892	24.5453	24.6126	12.0189	12.3772	12.3131	12.5051	11.8844	12.0863	12.5991	12.1624	12.0619	12.9247	13.4971	13.2817	12.2546	14.1809	14.8973	14.0505	13.7487	14.0324	13.7221	13.7245	14.1953	14.6014	13.6476	14.101	11.9269	13.7368	12.3818	14.5288	14.2932	14.9507	14.3586	14.4061	12.2833	12.6647	12.0919	12.0766	14.0015	13.8778	13.9358	14.697	12.1957	12.2915	11.9866	16.1646	11.9962	11.8554	12.1257	12.0162	13.9966	13.8177	13.7134	15.8867	18.4835	20.2245	20.0529	19.6273	16.7125	19.2029	19.7842	14.1843	15.8235	13.9189	12.4821	12.2671	13.8044	16.0242	14.115	15.1436	15.8238	12.9598	14.1058	13.5629	15.2253	17.4169	12.2705	14.2645	17.2914	14.295	13.8048	13.8499	14.1583	21.0625	14.51	11.6946	14.1035	12.4949	12.7923	12.9781
DC_AUHT-5514_florida_IndianRiverCo_Fellsmere_sorted	14.2004	20.1912	20.532	20.3058	20.5158	0	21.1471	20.4195	20.7658	20.2657	20.5852	20.455	20.3519	20.0375	20.4618	20.8175	20.8183	20.3729	20.0127	20.3274	20.699	20.3062	19.5541	20.0918	20.293	20.1839	20.5161	20.5534	13.7222	13.8714	13.9875	14.2811	13.5756	14.2733	13.9489	13.7922	13.8807	14.8323	15.2856	14.8527	14.2388	14.8372	14.7081	15.2052	15.0718	14.8394	14.8482	14.2836	14.9787	14.9298	14.4938	14.6296	14.2944	15.0395	13.9015	15.392	14.3493	15.1063	15.1529	15.1217	13.9201	13.8347	13.9885	13.7923	15.1016	14.539	14.6052	15.3759	13.9807	13.7742	13.8041	16.1953	13.9427	13.6343	13.5237	13.6784	14.9174	14.6374	14.4631	15.1972	18.0854	19.6786	19.2066	18.8135	17.2939	18.1802	18.3714	14.7805	15.4276	14.8608	13.938	14.1383	14.9052	15.8903	14.902	15.1902	15.937	14.7623	14.7801	14.6245	15.0705	16.585	14.1256	14.142	16.5047	14.5946	15.1474	14.9122	15.383	20.4457	14.4884	13.8152	14.8713	14.0942	15.0823	14.5596
DC_AUHT-5517_florida_MartinCo_IndianTown_sorted	13.5245	21.2336	21.6271	21.2282	21.6182	20.9724	0	21.231	21.2405	21.2859	21.1364	20.8499	21.4163	21.1537	21.1709	21.9393	21.7373	21.0014	21.319	21.1452	21.5008	21.275	21.1354	21.6897	20.4914	21.6533	22.2328	21.5816	13.5012	13.5088	13.279	13.2993	12.9968	13.7046	13.4694	13.3984	13.0922	13.5215	13.9603	15.016	13.3755	14.5123	15.2015	14.6654	14.9177	14.8644	14.7634	14.3937	14.684	15.304	14.5044	14.2274	13.0766	14.5181	13.0662	14.236	14.4711	14.7627	14.7713	15.1855	13.5002	13.5551	13.2314	13.3095	14.4924	14.9025	14.3746	15.2952	13.3677	12.9294	13.3616	15.785	13.446	13.383	13.5022	13.1383	14.5681	15.0361	15.0355	15.2141	17.9195	19.2732	18.9243	19.2744	17.4354	18.4743	19.208	14.4978	15.7702	14.2188	13.3804	13.4713	14.6184	15.9214	14.5659	15.0957	15.5711	14.1071	14.8213	14.2859	15.4283	17.7727	13.0082	14.0826	17.2094	14.9458	14.115	14.9458	14.9485	21.5817	14.5284	13.4064	14.4526	13.4836	13.9577	14.2316
DC_AUHT-5520_florida_HighlandsCo_LakePlacid_sorted	12.4017	23.2033	23.7446	23.2722	24.2485	20.2272	21.3584	0	23.5249	22.6806	22.6665	22.7982	23.1939	22.746	23.3625	24.2876	23.7577	22.7444	24.3004	22.9995	23.6027	22.9004	22.9044	23.2682	21.7638	24.0437	23.7855	24.5813	12.3818	12.7687	12.2863	12.7767	12.2394	12.7815	12.6791	12.1718	12.4381	13.5098	13.2594	13.5425	12.6811	14.4097	14.4229	14.3062	14.2434	13.7872	13.9316	14.0241	14.4767	14.4024	13.9094	14.2591	12.0505	13.8399	12.3199	14.5326	14.0633	14.8356	14.5574	14.2132	12.3229	12.4221	12.4248	12.1366	14.0005	13.8686	13.9412	14.9625	12.6692	12.3754	12.3068	16.0347	12.7406	12.4258	11.8448	12.1414	14.2051	13.9241	13.8161	15.4569	18.6897	19.3269	19.3222	19.584	16.6555	19.3536	19.3912	14.4729	16.2431	14.2052	12.4957	12.7513	14.1155	15.851	14.1779	15.7063	15.3708	13.2531	14.308	14.1057	15.0843	17.067	12.5838	14.2201	17.1573	14.3523	14.0029	13.9644	14.3027	21.5788	14.3997	11.9214	13.8322	12.0938	13.0481	13.5222
DC_AUHT-5522_florida_HighlandsCo_LakeJuneinWinter_sorted	12.7435	21.9349	23.2809	23.0804	23.4764	20.5288	21.3987	23.5352	0	22.5663	22.9374	24.244	23.2386	22.7108	23.1783	23.2345	23.5208	23.335	23.5153	22.933	22.9048	22.965	22.9603	23.1042	21.8277	23.3795	23.2593	22.8007	12.5349	12.9	12.3952	13.0101	12.2915	12.4821	12.7124	12.8281	12.7193	13.8049	13.6652	13.8014	12.9921	14.2831	14.6059	14.3946	14.1388	13.9729	14.5617	13.4554	14.1732	14.533	14.076	14.2072	12.6876	14.0993	12.5954	14.2251	14.3722	14.6909	13.9699	14.3535	12.5683	12.4013	12.5185	12.4308	13.9717	13.6288	13.8646	14.5467	12.7862	12.4818	12.3551	16.0646	12.5553	12.3141	12.6448	12.2911	14.3082	14.3577	13.7413	16.0493	19.0532	19.7776	19.8457	19.5435	16.875	19.2179	19.5297	14.3545	15.8067	13.5385	12.6202	13.0186	14.6869	15.742	14.2676	15.3485	15.4945	13.0706	13.8631	13.9337	15.4233	17.0223	12.9122	13.8305	17.2042	14.2307	14.0742	14.1068	13.9512	20.9341	14.2775	12.1114	14.1548	12.637	13.1015	13.4332
DC_AUHT-5523_florida_HighlandsCo_LakeWalesRidge_sorted	12.3748	22.0903	22.7657	22.2412	23.7483	20.2824	21.3732	22.7285	22.6237	0	23.8132	22.8412	23.1288	22.86	22.7167	22.819	23.0514	22.1982	23.161	23.5883	22.5134	22.8345	22.0043	23.2593	21.2516	22.9985	22.5982	22.4912	12.4204	12.8982	12.3421	12.9625	11.9305	12.7597	12.5877	12.5607	12.3471	13.6563	13.6926	14.0449	12.962	14.4189	15.0153	14.4636	14.4675	14.433	14.4279	14.2376	14.4636	14.2703	13.4482	14.3979	12.0539	14.4666	12.5048	14.4461	14.501	15.0009	14.3019	14.6206	12.1557	12.2511	12.4977	12.0975	14.4317	14.2111	14.4364	15.1325	12.1034	12.3529	12.4331	16.4017	12.7438	12.2175	12.1114	12.3685	14.517	14.3676	14.3918	15.5575	18.9085	19.8498	20.0491	19.3524	17.109	19.4264	19.7882	14.5102	15.7719	14.0359	12.4484	12.5959	14.2889	15.7389	14.0026	15.5041	15.6142	13.305	14.3207	14.0911	15.5825	17.7778	12.6995	14.1104	17.3597	14.8115	13.9895	14.3758	14.6413	21.3487	14.9382	12.1916	14.2789	12.3593	13.8151	13.7677
