"ind" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "spp" "spp.1" "clade" "spp.2" "clade.1"
"1" "DC_AUHT-5495_florida_HighlandsCo_Archbold_sorted" 0.162005 0.0856265 0.0400821 -0.0198915 -0.0863425 0.00151361 -0.0116659 -0.00950082 -0.0740533 0.034371 "South" "South" "Gulf" "South" "Gulf"
"2" "DC_AUHT-5505_florida_HighlandsCo_Archbold_sorted" 0.147645 0.0744321 0.0309214 0.00738083 -0.00432144 -0.0239324 0.0247335 0.0454997 -0.0831539 -0.0238276 "South" "South" "Gulf" "South" "Gulf"
"3" "DC_AUHT-5511_florida_HighlandsCo_PlacidLakes_sorted" 0.162908 0.0755626 0.0372346 0.0193331 0.0031968 -0.0257094 0.0269685 0.00781377 -0.121143 -0.0317411 "South" "South" "Gulf" "South" "Gulf"
"4" "DC_AUHT-5514_florida_IndianRiverCo_Fellsmere_sorted" 0.0947369 0.0462437 0.049417 0.00367772 0.0478167 -0.11662 -0.0356681 0.0450294 -0.0280482 -0.0177256 "South" "South" "Gulf" "South" "Gulf"
"5" "DC_AUHT-5517_florida_MartinCo_IndianTown_sorted" 0.11549 0.0377228 0.0459701 -0.0109749 0.0523357 -0.0494499 -0.0276437 -0.036086 -0.00251817 -0.00249243 "South" "South" "Gulf" "South" "Gulf"
"6" "DC_AUHT-5520_florida_HighlandsCo_LakePlacid_sorted" 0.157437 0.071055 0.0592886 0.00763667 0.0423416 -0.0286531 0.0563274 0.0183695 -0.0696046 0.0254187 "South" "South" "Gulf" "South" "Gulf"
"7" "DC_AUHT-5522_florida_HighlandsCo_LakeJuneinWinter_sorted" 0.15199 0.0675617 0.0412446 0.003111 0.00142743 -0.0163773 0.0515419 -0.0175788 -0.0370353 -0.0127568 "South" "South" "Gulf" "South" "Gulf"
"8" "DC_AUHT-5523_florida_HighlandsCo_LakeWalesRidge_sorted" 0.144535 0.0253391 0.0530897 -0.0113831 0.029427 -0.0204023 -0.00767165 0.0641991 -0.00395008 0.0125799 "South" "South" "Gulf" "South" "Gulf"
"9" "DC_AUHT-5540_florida_HighlandsCo_LakeIstokpoga_sorted" 0.139192 0.0576581 0.0547518 0.0136019 0.0381775 -0.0505827 -0.0297769 0.0487519 -0.0370546 0.0125848 "South" "South" "Gulf" "South" "Gulf"
"10" "DC_AUHT-5566_florida_HighlandsCo_PlacidLakes_sorted" 0.147229 0.0611713 0.0275041 -0.00827437 0.0186172 0.00126003 0.000471753 -0.00625705 0.0070928 -0.0788271 "South" "South" "Gulf" "South" "Gulf"
"11" "DC_AUHT-5579_florida_CaptivaCo_CaptivaIsland_sorted" 0.158075 0.0629564 0.0152386 -0.0393127 -0.0526148 0.0745079 0.214112 -0.105242 0.497598 0.0487823 "Captiva" "Captiva" "Gulf" "Captiva" "Gulf"
"12" "DC_AUHT-5581_florida_HighlandsCo_LakeWalesRidgeOrangeBlossom_sorted" 0.142728 0.063822 0.0412624 0.0012494 -0.0057203 0.0260206 -0.0402641 -0.0230153 -0.0947544 0.018437 "South" "South" "Gulf" "South" "Gulf"
"13" "DC_AUHT-5585_florida_HighlandsCo_LakeWalesRidgeLPScrub_sorted" 0.151907 0.0772243 0.0432243 0.0273583 -0.0194473 0.0339631 -0.00555662 0.0175421 -0.0502588 -0.00327728 "South" "South" "Gulf" "South" "Gulf"
"14" "DC_AUHT-5588_florida_HighlandsCo_Venus_sorted" 0.163637 0.063765 0.0399654 -0.00742045 -0.0185013 -0.00616233 -0.0151737 -0.0115219 -0.09422 -0.0205438 "South" "South" "Gulf" "South" "Gulf"
"15" "DC_AUHT-5593_florida_HighlandsCo_PlacidLakes_sorted" 0.163546 0.0784401 0.0302208 -0.000289174 -0.0518695 -0.0237353 -0.0104225 -0.0378805 -0.0658158 0.00169792 "South" "South" "Gulf" "South" "Gulf"
"16" "DC_AUHT-5598_florida_HighlandsCo_LakeJuneinWinter_sorted" 0.140695 0.046504 0.0432836 0.023967 0.0105688 0.0296345 -0.0185224 -0.0120629 -0.041031 -0.0381914 "South" "South" "Gulf" "South" "Gulf"
"17" "DC_AUHT-5601_florida_Archbold_sorted" 0.150351 0.0732399 -0.00406795 0.0151269 -0.0250569 -0.0184661 0.00211822 -0.0480443 -0.0672237 0.00484785 "South" "South" "Gulf" "South" "Gulf"
"18" "DC_AUHT-5603_florida_HighlandsCo_SebringGrassyCreek_sorted" 0.148539 0.0469142 0.0620388 0.0260238 0.0374619 -0.00724029 0.0235572 0.0457205 -0.0237681 -0.0332097 "South" "South" "Gulf" "South" "Gulf"
"19" "DC_AUHT-5606_florida_HighlandsCo_Venus_sorted" 0.158549 0.0732701 0.0167749 0.0198389 -0.0291267 0.0149057 -0.020333 0.0396278 -0.108339 -0.0264808 "South" "South" "Gulf" "South" "Gulf"
"20" "DC_AUHT-5613_florida_HighlandsCo_HighlandsHammock_sorted" 0.134299 0.0439533 0.0246487 -0.00277064 0.00132478 0.00802374 -0.0179731 -0.0130847 0.0325335 0.0280315 "South" "South" "Gulf" "South" "Gulf"
"21" "DC_AUHT-5615_florida_Montura_OkaloacoocheeSlough_sorted" 0.147791 0.0472192 -0.000924856 0.0153512 -0.032885 0.031442 0.0387583 -0.0423395 0.0850916 0.0704643 "South" "South" "Gulf" "South" "Gulf"
"22" "DC_AUHT-5617_florida_CaptivaCo_CaptivaIsland_sorted" 0.157578 0.0742262 0.0134812 -0.0115425 -0.0295641 0.0942925 0.225091 -0.120965 0.523228 0.0691412 "Captiva" "Captiva" "Gulf" "Captiva" "Gulf"
"23" "DC_AUHT-5626_florida_MiamiDadeCo_NearTurkeyPoint_sorted" 0.124912 0.0532088 0.0185237 0.0257081 0.01439 0.0591216 -0.0163965 0.0408181 0.0677228 -0.0369118 "Pen" "Pen" "Gulf" "Pen" "Gulf"
"24" "DC_AUHT-5635_florida_HighlandsCo_Archbold_sorted" 0.157867 0.0759448 0.0214821 -0.0300672 -0.0312889 -0.0422894 0.0221898 0.00611429 -0.0908064 0.0269092 "South" "South" "Gulf" "South" "Gulf"
"25" "DC_AUHT-5636_florida_HighlandsCo_Venus_sorted" 0.164467 0.0656984 0.025009 -0.00840853 -0.0464476 -0.0192234 -0.0412332 0.0290227 -0.0692823 0.0229413 "South" "South" "Gulf" "South" "Gulf"
"26" "DC_AUHT-5637_florida_HighlandsCo_Venus_sorted" 0.161566 0.0701034 0.0364144 0.0353981 -0.0633492 0.0148971 0.0313859 0.0497703 -0.130752 0.00502797 "South" "South" "Gulf" "South" "Gulf"
"27" "DC_MB2702_UF123385_Florida_Alachua_sorted" 0.0710542 -0.0331028 -0.164154 -0.00564518 0.0672461 0.00933357 -0.126462 -0.0836991 0.0525549 0.0507582 "North" "North" "Gulf" "North" "Gulf"
"28" "DC_MB2705_UF150061_Florida_Citrus_sorted" 0.0994889 -0.0147512 -0.185622 -0.0344778 0.0764887 -0.119038 -0.219611 0.00423593 -0.0271364 -0.0193351 "North" "North" "Gulf" "North" "Gulf"
"29" "DC_MB2706_UF150062_Florida_Marion_sorted" 0.0969083 -0.0102082 -0.1633 -0.0475949 0.0827136 -0.0929927 -0.161435 0.0173541 0.00162701 -0.014722 "North" "North" "Gulf" "North" "Gulf"
"30" "DC_MB2710_UF153475_Florida_Putnam_sorted" 0.0362619 -0.00415491 -0.141091 0.00541052 0.111544 -0.137485 -0.121333 -0.0310388 -0.00260243 0.0390828 "North" "North" "Gulf" "North" "Gulf"
"31" "DC_MB2717_UF157531_Florida_Gilchrist_sorted" 0.089544 -0.0671074 -0.184534 0.0264346 0.0310807 0.0687308 -0.167791 -0.0544389 0.0565926 0.0053484 "North" "North" "Gulf" "North" "Gulf"
"32" "DC_MB2719_UF165218_Florida_Citrus_sorted" 0.098563 -0.0378153 -0.14076 -0.00838452 0.0692232 0.0246713 -0.176169 -0.0271446 0.0416201 -0.0681329 "North" "North" "Gulf" "North" "Gulf"
"33" "DC_OCIC.15_Fuller_PetTrade_sorted" 0.111352 0.0466805 0.021819 -0.0217286 0.0587376 -0.0193985 -0.0923993 0.00689775 0.0191455 -0.0207204 "PetTrade" "PetTrade" "Gulf" "PetTrade" "Gulf"
"34" "DC_A1_georgia_EvansCo_FtStewart_sorted" -0.0991132 0.0907604 -0.00598483 -0.0373117 0.0409502 -0.153023 0.156531 -0.312429 -0.0797716 0.0306237 "East" "East" "Atlantic" "East" "Atlantic"
"35" "DC_A4_georgia_EvansCo_FtStewart_sorted" -0.102954 0.0773365 -0.0184521 -0.0317612 0.0330979 -0.182388 0.136002 -0.292846 -0.0870899 0.0248959 "East" "East" "Atlantic" "East" "Atlantic"
"36" "DC_A5_georgia_EvansCo_FtStewart_sorted" -0.104148 0.0838716 0.0139994 0.00392982 0.0489692 -0.144658 0.142035 -0.317732 -0.0795095 0.0157065 "East" "East" "Atlantic" "East" "Atlantic"
"37" "DC_A6_georgia_EvansCo_FtStewart_sorted" -0.0970735 0.0816219 -0.0167956 -0.0110434 0.0392209 -0.161641 0.131236 -0.347383 -0.0778347 0.0141424 "East" "East" "Atlantic" "East" "Atlantic"
